INDEX,COMPANY,DATE,DAYS,FREQUENCY,PRICE,AMOUNT,LAT,LONG,HALAL SOURCES IDENTIFIED,HALAL SUPPLY CHAIN USAGE DEFINED,FOLLOW HTM
1,SYAHIRAH RESOURCES SDN BHD,1/10/2019,1,7,13.18,92.26,3.2196,101.623,1,0,0
2,SYAHIRAH RESOURCES SDN BHD,2/10/2019,2,7,13.18,92.26,3.2196,101.6228,0,1,0
3,SYAHIRAH RESOURCES SDN BHD,3/10/2019,3,8,13.18,105.44,3.2196,101.6229,0,1,0
4,SYAHIRAH RESOURCES SDN BHD,4/10/2019,4,9,13.18,118.62,3.2196,101.6227,0,1,0
5,SYAHIRAH RESOURCES SDN BHD,5/10/2019,5,6,13.18,79.08,3.2196,101.6231,1,1,1
6,SYAHIRAH RESOURCES SDN BHD,6/10/2019,6,7,13.18,92.26,3.2196,101.623,1,1,1
7,SYAHIRAH RESOURCES SDN BHD,7/10/2019,7,7,13.18,92.26,3.2196,101.6226,0,0,0
8,SYAHIRAH RESOURCES SDN BHD,8/10/2019,8,8,13.18,105.44,3.2196,101.6227,0,1,0
9,SYAHIRAH RESOURCES SDN BHD,9/10/2019,9,1,13.18,13.18,3.2196,101.6231,1,0,0
10,SYAHIRAH RESOURCES SDN BHD,10/10/2019,10,11,13.18,144.98,3.2196,101.6229,0,0,0
11,SYAHIRAH RESOURCES SDN BHD,11/10/2019,11,11,13.18,144.98,3.2196,101.6229,0,0,0
12,SYAHIRAH RESOURCES SDN BHD,12/10/2019,12,11,13.18,144.98,3.2196,101.6231,0,0,0
13,SYAHIRAH RESOURCES SDN BHD,13/10/2019,13,4,13.18,52.72,3.2196,101.6226,1,1,1
14,SYAHIRAH RESOURCES SDN BHD,14/10/2019,14,9,13.18,118.62,3.2196,101.6228,0,0,0
15,SYAHIRAH RESOURCES SDN BHD,15/10/2019,15,9,13.18,118.62,3.2196,101.623,1,0,0
16,SYAHIRAH RESOURCES SDN BHD,16/10/2019,16,6,13.18,79.08,3.2196,101.6226,0,0,0
17,SYAHIRAH RESOURCES SDN BHD,17/10/2019,17,6,13.18,79.08,3.2196,101.623,0,0,0
18,SYAHIRAH RESOURCES SDN BHD,18/10/2019,18,5,13.18,65.9,3.2196,101.6226,0,1,0
19,SYAHIRAH RESOURCES SDN BHD,19/10/2019,19,9,13.18,118.62,3.2196,101.6227,0,1,0
20,SYAHIRAH RESOURCES SDN BHD,20/10/2019,20,10,13.18,131.8,3.2196,101.6226,0,0,0
21,SYAHIRAH RESOURCES SDN BHD,21/10/2019,21,3,13.18,39.54,3.2196,101.6226,0,0,0
22,SYAHIRAH RESOURCES SDN BHD,22/10/2019,22,8,13.18,105.44,3.2196,101.6231,1,1,1
23,SYAHIRAH RESOURCES SDN BHD,23/10/2019,23,2,13.18,26.36,3.2196,101.6231,0,0,0
24,SYAHIRAH RESOURCES SDN BHD,24/10/2019,24,10,13.18,131.8,3.2196,101.6227,1,1,1
25,SYAHIRAH RESOURCES SDN BHD,25/10/2019,25,10,13.18,131.8,3.2196,101.6226,1,1,1
26,SYAHIRAH RESOURCES SDN BHD,26/10/2019,26,8,13.18,105.44,3.2196,101.6226,0,1,0
27,SYAHIRAH RESOURCES SDN BHD,27/10/2019,27,11,13.18,144.98,3.2196,101.6229,1,0,0
28,SYAHIRAH RESOURCES SDN BHD,28/10/2019,28,8,13.18,105.44,3.2196,101.623,0,0,0
