INDEX,BANK NAME,INDUSTRY,START AFTER COVID19,ACTIVE MONTH,ACTIVE STATUS,TOTAL FREQUENCY,TOTAL AMOUNT (RM),AVERAGE AMOUNT (RM) PER MONTH,AVERAGE AMOUNT (RM) PER SALE,HALAL SOURCE DEFINED,HALAL SUPPLY CHAIN USAGE DEFINED,FOLLOWS HTM
77,10,1,1,7,2,88,296444.52,42349.22,3368.69,0,1,0
79,10,1,1,7,2,308,295970,42281.43,960.94,0,1,0
82,10,1,0,10,2,230,293451.02,29345.1,1275.87,0,1,0
277,10,2,0,10,2,785,292803.11,29280.31,373,0,0,0
70,10,1,0,13,2,1223,292524,22501.85,239.19,0,1,0
78,10,1,0,9,2,126,289367.93,32151.99,2296.57,0,1,0
279,10,2,0,9,2,1774,286668.98,31852.11,161.59,0,0,0
132,8,1,0,2,1,371,283059.8,141529.9,762.96,0,1,0
88,10,1,0,6,1,32,276825.9,46137.65,8650.81,0,1,0
73,1,1,1,7,2,7905,275179.5,39311.36,34.81,0,1,0
146,8,1,0,3,1,3748,274316.53,91438.84,73.19,0,1,0
90,8,1,0,7,2,2,272161.5,38880.21,136080.75,0,1,0
92,10,1,0,12,2,3100,271045,22587.08,87.43,0,1,0
86,10,1,0,12,2,5384,269335.1,22444.59,50.03,0,1,0
91,10,1,0,8,2,1535,267854.21,33481.78,174.5,0,1,0
85,10,1,0,10,2,1342,267605,26760.5,199.41,0,1,0
83,10,1,0,4,1,2963,266650,66662.5,89.99,0,1,0
96,10,1,0,3,1,83,264482.11,88160.7,3186.53,0,1,0
278,2,2,1,6,1,4168,263407.54,43901.26,63.2,0,0,0
95,10,1,0,13,2,471,262434,20187.23,557.18,0,1,0
72,10,1,1,6,1,2210,259371.9,43228.65,117.36,0,1,0
280,8,2,0,8,2,401,257913.2,32239.15,643.18,0,0,0
94,10,1,0,8,2,2535,256921.73,32115.22,101.35,0,1,0
282,2,2,1,7,2,1980,255885.97,36555.14,129.24,0,0,0
84,10,1,1,7,2,396,251420.6,35917.23,634.9,0,1,0
81,10,1,0,4,1,392,249562.28,62390.57,636.64,0,1,0
89,11,1,0,10,2,688,248391.4,24839.14,361.03,0,1,0
87,10,1,1,6,1,304,247113.08,41185.51,812.87,0,1,0
281,10,2,0,8,2,519,246986.24,30873.28,475.89,0,0,0
136,8,1,0,2,1,14325,246939.64,123469.82,17.24,0,1,0
99,10,1,1,3,1,61,246265,82088.33,4037.13,0,1,0
394,10,3,1,2,1,681,243325.32,121662.66,357.31,0,1,0
101,2,1,0,4,1,821,237317.83,59329.46,289.06,0,1,0
100,10,1,0,9,2,503,237242.3,26360.26,471.65,0,1,0
98,10,1,0,16,3,770,237044.05,14815.25,307.85,0,1,0
283,4,2,1,6,1,3471,236480.16,39413.36,68.13,0,0,0
80,10,1,0,3,1,185,233205,77735,1260.57,0,1,0
102,10,1,0,11,2,1182,232642.5,21149.32,196.82,0,1,0
103,10,1,0,12,2,197,231544.7,19295.39,1175.35,0,1,0
188,5,1,0,8,2,1131,227873.06,28484.13,201.48,0,1,0
107,10,1,0,11,2,1697,226567,20597,133.51,0,1,0
106,11,1,1,7,2,795,223344.1,31906.3,280.94,0,1,0
110,3,1,0,10,2,239,219794,21979.4,919.64,0,1,0
111,10,1,0,1,1,166,215643,215643,1299.05,0,1,0
93,8,1,1,6,1,1541,215342,35890.33,139.74,0,1,0
44,10,1,0,8,2,724,211357.15,26419.64,291.93,0,1,0
