INDEX,BANK NAME,INDUSTRY,START AFTER COVID19,ACTIVE MONTH,ACTIVE STATUS,TOTAL FREQUENCY,TOTAL AMOUNT (RM),AVERAGE AMOUNT (RM) PER MONTH,AVERAGE AMOUNT (RM) PER SALE,HALAL SOURCE DEFINED,HALAL SUPPLY CHAIN USAGE DEFINED,FOLLOWS HTM
77,10,1,1,7,2,88,296444.52,42349.22,3368.69,0,1,0
79,10,1,1,7,2,308,295970,42281.43,960.94,0,1,0
82,10,1,0,10,2,230,293451.02,29345.1,1275.87,0,1,0
277,10,2,0,10,2,785,292803.11,29280.31,373,0,0,0
70,10,1,0,13,2,1223,292524,22501.85,239.19,0,1,0
78,10,1,0,9,2,126,289367.93,32151.99,2296.57,0,1,0
279,10,2,0,9,2,1774,286668.98,31852.11,161.59,0,0,0
132,8,1,0,2,1,371,283059.8,141529.9,762.96,0,1,0
88,10,1,0,6,1,32,276825.9,46137.65,8650.81,0,1,0
73,1,1,1,7,2,7905,275179.5,39311.36,34.81,0,1,0
146,8,1,0,3,1,3748,274316.53,91438.84,73.19,0,1,0
90,8,1,0,7,2,2,272161.5,38880.21,136080.75,0,1,0
92,10,1,0,12,2,3100,271045,22587.08,87.43,0,1,0
86,10,1,0,12,2,5384,269335.1,22444.59,50.03,0,1,0
91,10,1,0,8,2,1535,267854.21,33481.78,174.5,0,1,0
85,10,1,0,10,2,1342,267605,26760.5,199.41,0,1,0
83,10,1,0,4,1,2963,266650,66662.5,89.99,0,1,0
96,10,1,0,3,1,83,264482.11,88160.7,3186.53,0,1,0
278,2,2,1,6,1,4168,263407.54,43901.26,63.2,0,0,0
95,10,1,0,13,2,471,262434,20187.23,557.18,0,1,0
72,10,1,1,6,1,2210,259371.9,43228.65,117.36,0,1,0
280,8,2,0,8,2,401,257913.2,32239.15,643.18,0,0,0
94,10,1,0,8,2,2535,256921.73,32115.22,101.35,0,1,0
282,2,2,1,7,2,1980,255885.97,36555.14,129.24,0,0,0
84,10,1,1,7,2,396,251420.6,35917.23,634.9,0,1,0
81,10,1,0,4,1,392,249562.28,62390.57,636.64,0,1,0
89,11,1,0,10,2,688,248391.4,24839.14,361.03,0,1,0
87,10,1,1,6,1,304,247113.08,41185.51,812.87,0,1,0
281,10,2,0,8,2,519,246986.24,30873.28,475.89,0,0,0
136,8,1,0,2,1,14325,246939.64,123469.82,17.24,0,1,0
99,10,1,1,3,1,61,246265,82088.33,4037.13,0,1,0
394,10,3,1,2,1,681,243325.32,121662.66,357.31,0,1,0
101,2,1,0,4,1,821,237317.83,59329.46,289.06,0,1,0
100,10,1,0,9,2,503,237242.3,26360.26,471.65,0,1,0
98,10,1,0,16,3,770,237044.05,14815.25,307.85,0,1,0
283,4,2,1,6,1,3471,236480.16,39413.36,68.13,0,0,0
469,8,7,0,10,2,493,279205,27920.5,566.34,1,1,1
360,10,4,0,10,2,739,262698.79,26269.88,355.48,1,1,1
345,10,7,0,10,2,815,259360,25936,318.23,1,1,1
440,10,5,0,10,2,128,243672,24367.2,1903.69,1,1,1
487,10,7,0,4,1,270,240249,60062.25,889.81,1,1,1
439,10,5,0,10,2,1161,230367.3,23036.73,198.42,1,1,1
486,10,7,0,4,1,727,215190,53797.5,296,1,1,1
470,10,7,0,9,2,2823,212488,23609.78,75.27,1,1,1
455,10,5,0,2,1,918,204834,102417,223.13,1,1,1
442,10,5,0,4,1,1318,203806.66,50951.67,154.63,1,1,1
441,10,5,1,5,1,1899,199168.62,39833.72,104.88,1,1,1
436,10,5,0,3,1,1206,184304.9,61434.97,152.82,1,1,1
444,10,5,0,9,2,217,180397,20044.11,831.32,1,1,1
443,10,5,1,7,2,318,179490.9,25641.56,564.44,1,1,1
346,10,7,1,6,1,2628,171232.56,28538.76,65.16,1,1,1
471,10,7,1,7,2,240,168915,24130.71,703.81,1,1,1
447,8,5,1,7,2,301,157533,22504.71,523.37,1,1,1
445,10,5,0,4,1,64,156594.73,39148.68,2446.79,1,1,1
449,10,5,0,7,2,162,146230,20890,902.65,1,1,1
448,10,5,1,5,1,1401,146015,29203,104.22,1,1,1
450,10,5,1,5,1,775,141860.01,28372,183.05,1,1,1
446,10,5,0,4,1,340,141503.42,35375.86,416.19,1,1,1
362,8,4,0,8,2,184,140001.09,17500.14,760.88,1,1,1
361,10,4,1,5,1,1316,133030,26606,101.09,1,1,1
490,8,7,1,5,1,1348,130990,26198,97.17,1,1,1
363,10,4,0,11,2,1365,129809.6,11800.87,95.1,1,1,1
453,10,5,0,9,2,442,128710.56,14301.17,291.2,1,1,1
426,10,7,0,8,2,1265,124601.33,15575.17,98.5,1,1,1
451,10,5,0,10,2,1058,123693,12369.3,116.91,1,1,1
365,10,4,0,1,1,90,123097.2,123097.2,1367.75,1,1,1
452,10,5,0,10,2,133,122543.8,12254.38,921.38,1,1,1
427,10,7,0,4,1,1279,121296.55,30324.14,94.84,1,1,1
347,10,7,1,5,1,517,118328.2,23665.64,228.87,1,1,1
367,10,4,0,1,1,66,112565.83,112565.83,1705.54,1,1,1
457,2,5,0,8,2,60,109209.96,13651.25,1820.17,1,1,1
368,10,4,1,3,1,15,107588,35862.67,7172.53,1,1,1
